year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2010,8,AMERICAIN,6,54.5,Alain de Royer Dupre,Gerald Mosse,11,Good,3200,10,13,"[118.94673999868077, 119.54865887498421, 119.45498293185861, 120.29892953953672, 118.76797253355613]",,1
2010,24,MALUCKYDAY,7,51.0,"Michael, Wayne & John Hawkes",Luke Nolen,5,Heavy,3200,11,12,"[122.9610825193789, 118.92886676108073, 119.73069140161115, 119.10103600512835, 122.81868294214341]",,2
2010,3,SO YOU THINK,6,56.0,Bart Cummings,Steven Arnold,2,Good,3200,2,7,"[121.63296439358496, 121.71235493092334, 121.35466106681501, 122.44707425016759, 119.21146443689902]",,3
2010,4,ZIPPING,4,55.5,Robert Hickmott,Nicholas Hall,15,Good,3200,6,11,"[122.5927045434563, 121.2551912016958, 119.50983708528771, 120.25308291498695, 120.39636562141585]",,4
2010,12,HARRIS TWEED,5,54.0,Murray & Bjorn Baker,Brad Rawiller,12,Good,3200,6,14,"[119.83780836452492, 121.56969927080169, 118.70201916871287, 118.9329842951714, 120.56171585472238]",,5
2010,19,HOLBERG,7,53.5,Saeed Bin Suroor,Frankie Dettori,9,Firm,3200,6,3,"[120.01803942498017, 121.25115209679636, 122.013063435558, 120.34261431416755, 119.23877987686762]",,6
2010,13,MANIGHAR,5,54.0,Luca Cumani,Damien Oliver,19,Good,3200,12,6,"[119.33995570143273, 119.8720964536925, 122.22048042530669, 120.9918411890779, 119.33236428966853]",,7
2010,20,PRECEDENCE,5,53.5,Bart Cummings,James Winks,14,Soft,3200,13,9,"[118.72463283093481, 118.65478508387716, 121.1507776618053, 119.05455595003367, 119.95929005998777]",,8
2010,5,ILLUSTRIOUS BLUE,4,55.0,William J Knight,Glen Boss,8,Good,3200,10,9,"[118.22322188679813, 118.76734272064313, 121.09432441230672, 122.60285656994515, 120.43896200579098]",,9
2010,6,MR MEDICI,6,55.0,Peter Ho,Darren Beadman,4,Soft,3200,3,10,"[120.04997025504323, 118.69682524726792, 120.25055432528434, 121.16870108230366, 118.77671443533886]",,10
2010,23,ONCE WERE WILD,4,51.5,Gai Waterhouse,Jim Cassidy,10,Good,3200,12,5,"[122.44955760380664, 119.60048077099101, 120.06673892768745, 118.36569191079874, 119.92954967881036]",,11
2010,9,TOKAI TRICK,4,54.5,Kenji Nonaka,Shinji Fujita,3,Soft,3200,9,11,"[121.7500944169058, 118.62355314137626, 121.01543683498964, 122.10594085900784, 120.04560796428585]",,12
2010,7,SHOOT OUT,6,55.0,John Wallace,Corey Brown,16,Good,3200,7,18,"[122.19208079685313, 122.1244262882152, 119.06498732290163, 121.97466771646835, 121.95102781907258]",,13
2010,15,MONACO CONSUL,6,54.0,Michael Moroney,Craig Williams,13,Soft,3200,2,7,"[118.6400739687179, 122.6197205648363, 119.65196478127189, 121.28836239287284, 118.92846156003296]",,14
2010,14,MASTER O’REILLY,5,54.0,Danny O’Brien,Vlad Duric,17,Good,3200,6,15,"[119.77896846412483, 120.90711690926094, 121.43452840676143, 119.37605931726331, 121.06521248534864]",,15
2010,2,CAMPANOLOGIST,4,56.0,Saeed Bin Suroor,Kerrin McEvoy,18,Good,3200,11,3,"[119.84401254907058, 120.66276208139881, 120.07242265289028, 122.89652688117286, 119.26268413322974]",,16
2010,16,PROFOUND BEAUTY,4,54.0,Dermot K Weld,Patrick Smullen,21,Good,3200,4,4,"[121.18401121807209, 118.62139077404424, 121.85192782089223, 122.71398260545722, 120.27243378460969]",,17
2010,1,SHOCKING,8,57.0,Mark Kavanagh,Michael Rodd,23,Soft,3200,13,19,"[122.45898086895377, 118.02848544846725, 119.2491297128806, 120.22985693425444, 120.2814697863727]",,18
2010,21,RED RULER,8,53.5,John Sargent,Mark Du Plessis,7,Soft,3200,3,7,"[121.69350059447287, 118.46948358184802, 119.73519889938119, 118.63364846826265, 122.56948878629552]",,19
2010,10,BUCCELLATI,5,54.0,Tony Noonan,Steven King,20,Soft,3200,12,11,"[118.22428764044179, 118.32617622173036, 118.3401182251922, 119.8153914569666, 122.84080422147956]",,20
2010,22,LINTON,5,52.0,Robert Hickmott,Brett Prebble,22,Soft,3200,5,12,"[119.03096719647219, 121.46368794309632, 118.61186688004885, 119.76368351334985, 119.58778562601263]",,21
2010,17,ZAVITE,4,54.0,Anthony Cummings,Michael Walker,6,Good,3200,12,19,"[122.22569998956494, 118.16915591346564, 120.59938138506588, 120.79880986014648, 118.6250527991401]",,22
