year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2016,17,ALMANDIN (GER),8,52.0,Robert Hickmott,Kerrin McEvoy,17,Soft,3200,2,6,"[121.25524962900919, 122.26761784785907, 118.53158113309057, 118.38183762598177, 120.0729449137301]",11.0,1
2016,13,HEARTBREAK CITY (FR),4,54.0,Tony Martin,Joao Moreira,23,Soft,3200,9,14,"[122.614755371509, 120.59075007645407, 119.49009721510829, 120.71189677627885, 118.81516180853941]",19.0,2
2016,6,HARTNELL (GB),4,56.0,John O’Shea,James McDonald,12,Heavy,3200,3,18,"[120.39098689649086, 120.04230340891588, 121.42367284883622, 121.77561026985643, 120.08295608698194]",,3
2016,23,QEWY (IRE),5,51.5,Charlie Appleby,Craig Williams,15,Soft,3200,7,5,"[120.79921212400656, 120.42213920095817, 122.62595911941649, 120.59691290064995, 118.73262185351486]",21.0,4
2016,7,WHO SHOT THEBARMAN (NZ),5,56.0,Chris Waller,Hugh Bowman,20,Good,3200,14,12,"[119.66318225158072, 122.24638933519958, 121.6864456392057, 119.15384152772205, 118.63096316215218]",26.0,5
2016,9,ALMOONQITH (USA),7,54.5,David & B Hayes & T Dabernig,Michael Walker,19,Good,3200,8,16,"[121.73921104532631, 120.54809615650743, 121.76364166367544, 118.88524104292895, 122.61913626417756]",,6
2016,16,BEAUTIFUL ROMANCE (GB),7,52.5,Saeed Bin Suroor,Damian Lane,1,Good,3200,9,12,"[120.40453797156, 121.72287973471195, 121.62171271314797, 120.89721038103546, 119.4431614467222]",71.0,7
2016,5,EXOSPHERIC (GB),7,56.0,Lee & Anthony Freedman,Damien Oliver,13,Good,3200,7,9,"[121.13907863267279, 121.80276593689732, 118.57374248226823, 122.2269711627913, 119.89196741567797]",21.0,8
2016,22,PENTATHLON (NZ),7,51.5,John Wheeler,Mark Du Plessis,4,Firm,3200,2,11,"[121.13207534867523, 121.70306229024209, 121.5764721897076, 122.98786872010132, 121.2582595544752]",81.0,9
2016,1,BIG ORANGE (GB),8,57.0,Michael Bell,James Spencer,7,Good,3200,9,13,"[120.49958780793285, 119.80407576412873, 120.13326998661374, 122.46143400199188, 122.08801659531457]",14.0,10
2016,11,GRAND MARSHAL (GB),5,54.5,Chris Waller,Ben Melham,9,Good,3200,8,15,"[119.6120648936902, 118.8746750115498, 120.1725531620606, 118.86312276803348, 119.45175037139803]",,11
2016,20,OCEANOGRAPHER (GB),4,52.0,Charlie Appleby,Chad Schofield,11,Firm,3200,6,9,"[119.80183645422193, 122.52823273931105, 120.85318531639784, 118.15025485654319, 120.55829336682835]",,12
2016,4,BONDI BEACH (IRE),8,56.0,Aidan O’Brien,Ryan Moore,5,Good,3200,4,19,"[119.34017392840323, 120.83753798673654, 119.56620229341297, 122.62693466616966, 119.63961246144862]",13.0,13
2016,19,GREY LION (IRE),4,52.0,Matt Cumani,Glen Boss,16,Heavy,3200,5,19,"[121.98554313634129, 120.51965109720113, 119.43419828683437, 122.36257087288948, 119.39310685465782]",41.0,14
2016,12,JAMEKA,5,54.5,Ciaron Maher,Nicholas Hall,3,Soft,3200,5,16,"[119.30737122214686, 121.55903091258334, 121.30584873474344, 119.08518144608637, 118.78221309104569]",8.5,15
2016,15,EXCESS KNOWLEDGE (GB),5,53.5,Gai Waterhouse & Adrian Bott,Vlad Duric,21,Good,3200,2,8,"[122.39592280995778, 118.7126061375787, 122.63250247475153, 120.80330169164435, 122.40818517196259]",61.0,16
2016,2,OUR IVANHOWE (GER),8,57.0,Lee & Anthony Freedman,Dwayne Dunn,6,Good,3200,5,13,"[120.66954018786068, 118.79368415082064, 122.62712459078645, 122.30735555387668, 118.50782754093511]",51.0,17
2016,14,SIR JOHN HAWKWOOD (IRE),4,54.0,John P Thompson,Blake Spriggs,14,Soft,3200,8,16,"[122.72053542184038, 122.90278883720235, 119.60734533435178, 122.00299001314148, 120.62300116350958]",81.0,18
2016,18,ASSIGN (IRE),5,52.0,Robert Hickmott,Ms Katelyn Mallyon,22,Good,3200,14,12,"[122.65438626171691, 118.15769935780904, 121.59677412689315, 122.1431269854829, 122.16242637303061]",51.0,19
2016,10,GALLANTE (IRE),6,54.5,Robert Hickmott,Blake Shinn,2,Soft,3200,5,16,"[120.18111877722068, 122.56670789008133, 122.44777589077404, 120.0344319859064, 118.9950828555822]",,20
2016,21,SECRET NUMBER (GB),4,52.0,Saeed Bin Suroor,Stephen Baster,10,Good,3200,8,16,"[119.87657909369597, 119.66668766046746, 118.13411471661492, 121.42732005090274, 122.60132203308137]",,21
2016,8,WICKLOW BRAVE (GB),7,56.0,William Mullins,Frankie Dettori,24,Good,3200,5,6,"[121.56888073774061, 122.83903336388848, 122.80314062678005, 120.19849726921623, 118.29492271960002]",16.0,22
2016,3,CURREN MIROTIC (JPN),4,56.5,Osamu Hirata,Tommy Berry,18,Firm,3200,13,16,"[118.09404483275422, 118.16328240196498, 118.58305540540582, 118.19538204271701, 121.55841994146553]",,23
2016,24,ROSE OF VIRGINIA (NZ),6,51.0,Lee & Shannon Hope,Ben E Thompson (a),8,Good,3200,4,5,"[118.86557784034184, 119.65258168002556, 118.3235507846079, 122.90530983806582, 119.04617633361197]",61.0,24
