year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position,margin,penalty
2021,4,VERRY ELLEEGANT (NZ),6,57.0,Chris Waller,James McDonald,10,Good,3200,9,8,"[121.0766072536769, 119.70836634929043, 118.05965185505362, 121.83292144514621, 119.54578232958882]",18.0,1,,
2021,2,INCENTIVISE,5,57.0,Peter Moody,Brett Prebble,16,Good,3200,10,8,"[120.29489873767307, 120.20376782936137, 122.68997568025766, 118.62506080873837, 122.63390974081013]",3.5,2,4.0L,
2021,22,SPANISH MISSION (USA),8,53.5,Andrew Balding,Tom Marquand,14,Heavy,3200,5,18,"[118.87429737605564, 119.39469753252796, 122.65366745988815, 120.74159033456733, 118.79334175034961]",12.0,3,4.2L,
2021,3,FLOATING ARTIST (IRE),7,56.5,Ciaron Maher & David Eustace,Fred Kersley,11,Firm,3200,4,12,"[119.55045785348975, 118.12632166877475, 121.50631362899432, 119.89880884717766, 119.94826410668448]",41.0,4,4.4L,
2021,12,GRAND PROMENADE (GB),7,54.5,Ciaron Maher & David Eustace,Kerrin McEvoy,15,Good,3200,3,7,"[120.89921708373853, 118.46467017532336, 121.2300863065887, 120.5193323853754, 122.13594775445974]",31.0,5,4.6L,
2021,1,DELPHI (IRE),6,58.0,Anthony & Sam Freedman,Damien Oliver,3,Good,3200,14,6,"[119.15801777935623, 122.43677758080936, 122.0084290271625, 122.31379867534314, 118.17540394755471]",14.0,6,4.8L,
2021,10,THE CHOSEN ONE (NZ),8,55.0,Murray Baker & Andrew Forsman,Daniel Stackhouse,18,Heavy,3200,14,5,"[121.18007358801869, 119.16399542009407, 121.24553094784424, 118.5604306176928, 120.43787973905172]",26.0,7,5.0L,
2021,13,TRALEE ROSE (NZ),5,54.5,Symon Wilde,Dean Yendall,12,Good,3200,2,14,"[120.7543443133999, 118.24354801077286, 118.35115832338687, 118.05969323355366, 118.3036798006343]",61.0,8,5.2L,
2021,11,KNIGHTS ORDER (IRE),8,54.5,Gai Waterhouse & Adrian Bott,Daniel Stackhouse,7,Soft,3200,8,10,"[122.34900246264161, 118.65272177415581, 122.90677218846017, 119.81500290562961, 119.60569244325231]",41.0,9,5.4L,
2021,5,OCEAN BILLY (NZ),8,56.5,Chris Waller,Damian Lane,5,Soft,3200,14,5,"[119.44586648370971, 120.32601807499117, 120.91998702445434, 119.1061771647624, 122.60419737941815]",51.0,10,5.6L,
2021,6,TWILIGHT PAYMENT (IRE),4,58.0,Joseph O'Brien,Jye McNeil,20,Good,3200,13,11,"[121.1652404473475, 119.53823278073007, 120.09275957294427, 122.18062739936407, 120.21120962648821]",19.0,11,5.8L,
2021,15,PONDUS (IRE),8,54.0,Joseph O'Brien,Ben Melham,19,Heavy,3200,7,16,"[122.01837305014703, 119.82224576710055, 118.08656968078294, 121.23390599164644, 122.78806555608946]",51.0,12,6.0L,
2021,14,MASTER OF REALITY (IRE),5,54.5,Joseph O'Brien,Michael Dee,8,Good,3200,3,14,"[120.59601462981091, 118.88027413636885, 122.01620823685694, 119.86055294390755, 120.60234150414966]",81.0,13,6.2L,
2021,20,THE GREATEST (AUS),4,53.5,Ciaron Maher & David Eustace,Fred Kersley,1,Heavy,3200,6,16,"[120.46447117230925, 122.45283807418164, 120.31081161647141, 119.60299134917703, 122.1567740855725]",91.0,14,6.4L,
2021,16,MIAMI BOUND,8,54.0,Danny O'Brien,Michael Poy,2,Good,3200,10,16,"[119.08997766446974, 119.94000039824324, 119.19627160553995, 121.43357521323271, 120.51983373579392]",101.0,15,6.6L,
2021,8,PERFECT ALIBI,6,55.5,Michael Moroney,Jamie Kah,17,Soft,3200,6,7,"[120.76629498880031, 118.63185177585093, 119.57593190558258, 120.10207251703382, 122.91992260539708]",111.0,16,6.8L,
2021,19,MIAMI BOUND,8,54.0,Danny O'Brien,Michael Poy,13,Good,3200,9,7,"[122.73393353775232, 119.33428421891043, 119.13269230326483, 122.22485155653268, 118.75532376798638]",121.0,17,7.0L,
2021,21,PORT GUILLAUME (FR),7,53.5,Ben & JD Hayes,Blake Shinn,9,Good,3200,5,19,"[122.64073166246108, 122.91488809279144, 121.35729677346055, 121.2223588357613, 122.02228477649703]",131.0,18,7.2L,
2021,9,CHAPADA,5,55.5,Michael Moroney,Damien Oliver,6,Heavy,3200,13,16,"[122.82143096852076, 120.13348592669526, 120.23053268012886, 122.69686397157346, 120.84952451226187]",141.0,19,7.4L,
