year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2022,1,GOLD TRIP (FR),6,57.5,Ciaron Maher & David Eustace,Mark Zahra,13,Soft,3200,7,17,"[120.82286047041755, 118.44441753854736, 118.18001990047713, 120.40479028151012, 122.157532949601]",21.0,1
2022,17,EMISSARY (GB),4,51.5,Michael Moroney,Patrick Moloney,3,Good,3200,14,11,"[120.69259635285087, 118.09113457195726, 119.5758077131998, 122.78751166916187, 122.37584636036574]",26.0,2
2022,22,HIGH EMOCEAN (NZ),7,50.0,Ciaron Maher & David Eustace,Teo Nugent,8,Good,3200,5,5,"[122.33150183234322, 118.75046978617414, 120.66990209633926, 122.32256977836434, 119.74133145017058]",41.0,3
2022,8,DEAUVILLE LEGEND (IRE),5,55.0,James Ferguson,Kerrin McEvoy,9,Good,3200,8,17,"[119.05010850844558, 122.94489511340159, 120.46838496263216, 118.89863969577021, 118.70160715253208]",4.4,4
2022,24,REALM OF FLOWERS,6,50.0,Anthony & Sam Freedman,Damien Thornton,5,Good,3200,8,10,"[122.6551567784606, 120.18657521997194, 122.92322813564152, 121.12969941655642, 119.41655383829216]",8.0,5
2022,14,DAQIANSWEET JUNIOR (NZ),5,53.0,Phillip Stokes,Daniel Moor,12,Good,3200,11,5,"[119.97483148515185, 121.8359407452503, 120.79816286026006, 118.36751147602867, 119.87949952046495]",61.0,6
2022,19,SMOKIN’ ROMANS (NZ),7,51.5,Ciaron Maher & David Eustace,Ms Jamie Kah,15,Soft,3200,13,12,"[118.97515313107688, 121.98585785630206, 120.4608244728126, 121.21651879322162, 120.70943437938232]",17.0,7
2022,9,STOCKMAN (NZ),4,54.0,Joseph Pride,Sam Clipperton,2,Soft,3200,14,9,"[120.74659501055545, 120.95336487087084, 120.98693050533561, 120.60711227033687, 121.8098794496812]",16.0,8
2022,3,KNIGHTS ORDER (IRE),8,55.5,Gai Waterhouse & Adrian Bott,Tim Clark,22,Good,3200,14,19,"[118.94494560986756, 119.1784167261011, 118.01422062097956, 120.29901724596817, 118.78303048013214]",18.0,9
2022,10,VOW AND DECLARE,7,54.0,Danny O’Brien,Blake Shinn,4,Heavy,3200,10,18,"[121.5916863164684, 122.09536418388899, 118.413527534572, 119.16413445511539, 120.03592190594881]",21.0,10
2022,16,ARAPAHO (FR),7,52.5,Bjorn Baker,Ms Rachel King,18,Good,3200,4,8,"[119.78456362042185, 122.06526472614435, 118.54553956432116, 119.36149358803307, 122.33968621233744]",61.0,11
2022,12,HOO YA MAL (GB),6,53.5,Gai Waterhouse & Adrian Bott,Craig Williams,14,Soft,3200,9,19,"[122.57657271821766, 120.61020875702395, 120.164248067471, 119.00394449809706, 119.36766159577931]",13.0,12
2022,6,WITHOUT A FIGHT (IRE),4,55.5,Simon & Ed Crisford,William Buick,17,Good,3200,11,5,"[121.78920485927648, 118.4053210939684, 121.61321318066038, 120.10015974152057, 121.34753583697109]",12.0,13
2022,15,GRAND PROMENADE (GB),5,53.0,Ciaron Maher & David Eustace,Harry Coffey,1,Soft,3200,13,4,"[120.24151015656619, 120.59494326880261, 122.49183603788194, 120.47339200318075, 118.41959489136275]",71.0,14
2022,11,YOUNG WERTHER (NZ),7,54.0,Danny O’Brien,Damian Lane,19,Good,3200,8,12,"[120.46001347510395, 122.36362465288295, 122.14344053999739, 120.36518730990068, 118.09631810313346]",31.0,15
2022,4,MONTEFILIA,6,55.5,David Payne,Jason Collett,11,Good,3200,9,4,"[122.64703714517613, 121.75525551265727, 118.89461518351166, 121.71558289012773, 121.83018471971378]",9.5,16
2022,20,TRALEE ROSE (NZ),4,51.5,Symon Wilde,Dean Yendall,20,Good,3200,7,16,"[118.427636236833, 119.44591891314369, 118.76588677036689, 118.26935713568787, 121.05284913004222]",51.0,17
2022,2,DUAIS,7,55.5,Edward Cummings,Hugh Bowman,10,Heavy,3200,12,17,"[120.2239998692337, 118.0152172637484, 121.44909267018393, 122.27307130280931, 121.87678492347719]",21.0,18
2022,5,NUMERIAN (IRE),5,55.5,Annabel Neasham,Tommy Berry,7,Good,3200,7,11,"[118.81230239826448, 122.89073383801752, 120.42691502898315, 118.68624431742089, 120.34774652423359]",61.0,19
2022,13,SERPENTINE (IRE),8,53.5,Robert Hickmott,John Allen,21,Good,3200,14,9,"[119.24621904539902, 121.25183775183841, 118.93234727249768, 118.94157272332151, 121.50442216894132]",31.0,20
2022,7,CAMORRA (IRE),5,55.0,Ben & JD Hayes,Ben Melham,16,Heavy,3200,7,14,"[122.06630096391136, 121.24037832374958, 121.66228544992912, 121.06715334534236, 118.33698886194799]",41.0,21
