year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2020,6,TWILIGHT PAYMENT (IRE),8,55.5,Joseph O’Brien,Jye McNeil,12,Good,3200,6,19,"[121.90843587624413, 122.72224788228314, 118.24158674235791, 121.57278659699097, 121.3560977814713]",26.0,1
2020,21,TIGER MOTH (IRE),5,52.5,Aidan O’Brien,Kerrin McEvoy,22,Soft,3200,5,15,"[118.81737559754515, 121.39771544099085, 119.17345626727898, 120.78529422511441, 120.12007218037303]",6.5,2
2020,12,PRINCE OF ARRAN (GB),6,54.5,Charlie Fellowes,Jamie Kah,1,Good,3200,12,6,"[118.19276246946909, 121.57212140004543, 119.07459840742207, 118.77052272412817, 121.2769791511826]",9.5,3
2020,17,THE CHOSEN ONE (NZ),6,53.5,Murray Baker & Andrew Forsman,Daniel Stackhouse,5,Good,3200,6,9,"[121.17903925803923, 119.13595834764757, 119.39811924666677, 122.55380887951327, 121.1026491913936]",41.0,4
2020,24,PERSAN,4,51.0,Ciaron Maher & David Eustace,Michael Dee,19,Good,3200,3,4,"[122.27823412524678, 122.24464850546218, 119.51138866707564, 118.87334198198293, 118.36248298013771]",41.0,5
2020,5,SIR DRAGONET (IRE),5,55.5,Ciaron Maher & David Eustace,Glen Boss,14,Good,3200,7,18,"[122.62926684269837, 118.3552921179984, 118.1430801581978, 122.21472971931959, 121.48173131186054]",12.0,6
2020,7,VERRY ELLEEGANT (NZ),8,55.5,Chris Waller,Mark Zahra,15,Soft,3200,4,11,"[119.1631310679751, 119.98462439466553, 120.26242540508193, 118.67539545249359, 122.6797776997558]",10.0,7
2020,15,RUSSIAN CAMELOT (IRE),6,53.5,Danny O’Brien,Damien Oliver,16,Good,3200,6,14,"[120.00825350605795, 120.67126307721504, 119.74695409823583, 119.13569045080861, 119.61686795956633]",13.0,8
2020,11,FINCHE (GB),4,54.5,Chris Waller,James McDonald,6,Good,3200,11,17,"[118.12276839070182, 122.02604542237255, 121.43726024428432, 118.42701537155467, 122.38863039064722]",21.0,9
2020,18,ASHRUN (FR),6,53.0,Andreas Wohler,Declan Bates,23,Good,3200,14,11,"[120.90578082672815, 121.47826127665026, 120.68956741476644, 119.35020983507665, 121.04187617979916]",26.0,10
2020,22,OCEANEX (NZ),7,51.5,Mick Price & Michael Kent (Jnr),Dean Yendall,17,Good,3200,13,4,"[119.20047077805219, 119.32903006929412, 120.89130834143411, 122.34140780420282, 120.59869022510726]",81.0,11
2020,19,WARNING,6,53.0,Anthony & Sam Freedman,Luke Currie,8,Good,3200,9,14,"[118.88520804398698, 120.99590216378547, 119.88654777918076, 119.0044284517939, 122.75651010322746]",41.0,12
2020,13,SURPRISE BABY (NZ),8,54.5,Paul Preusker,Craig Williams,7,Good,3200,6,5,"[120.38646981097584, 121.55348009555625, 119.28579020384139, 119.5792616154712, 120.06737162542453]",6.0,13
2020,23,MIAMI BOUND (NZ),8,51.0,Danny O’Brien,Daniel Moor,13,Good,3200,3,18,"[122.82310243271965, 121.17452554137867, 121.17449412440169, 122.31083258514904, 121.17234761945507]",41.0,14
2020,4,MASTER OF REALITY (IRE),4,56.0,Joseph O’Brien,Ben Melham,11,Good,3200,14,14,"[119.12073023837978, 118.57616482880655, 120.90976489685853, 118.21702963223102, 122.5231448012353]",19.0,15
2020,16,STEEL PRINCE (IRE),7,53.5,Anthony & Sam Freedman,William Pike,20,Good,3200,4,13,"[121.32724711137023, 122.98043887851591, 118.36783052190147, 120.75111141629436, 122.43675327909683]",31.0,16
2020,20,ETAH JAMES (NZ),8,52.5,Ciaron Maher & David Eustace,Billy Egan,21,Good,3200,9,18,"[120.69931982713531, 120.75259825353722, 118.08516170836084, 122.34621273542135, 121.64097349193588]",101.0,17
2020,3,VOW AND DECLARE,7,57.0,Danny O’Brien,Jamie Mott,4,Soft,3200,13,16,"[122.05343113622132, 122.65465295059437, 118.38737081244709, 121.76275994791771, 118.76745771062984]",61.0,18
2020,8,MUSTAJEER (GB),6,55.0,Kris Lees,Michael Rodd,2,Good,3200,7,18,"[121.82896177188427, 121.02192161220457, 121.17879570066734, 119.88281871786927, 119.67013792055963]",101.0,19
2020,9,STRATUM ALBION (GB),4,55.0,Willie Mullins,Jordan Childs,9,Good,3200,11,12,"[118.96820205949938, 121.38882917183815, 119.6093876824888, 119.67581383691407, 120.11360159036758]",31.0,20
2020,10,DASHING WILLOUGHBY (GB),8,54.5,Andrew Balding,Michael Walker,18,Good,3200,2,11,"[120.10843897960598, 122.43876113796999, 120.40890534860307, 118.97295190552596, 118.78171963025893]",101.0,21
2020,2,AVILIUS (GB),8,57.0,James Cummings,John Allen,10,Heavy,3200,10,11,"[120.38249689297699, 119.82561615504936, 121.07528853087949, 118.55984271159791, 121.45968229100755]",61.0,22
