year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2014,5,PROTECTIONIST (GER),7,56.5,Andreas Wohler,Ryan Moore,10,Soft,3200,14,17,"[120.70136171888038, 121.38911686685164, 119.05926537377032, 121.84590032670496, 120.64308826028507]",8.0,1
2014,4,RED CADEAUX (GB),5,57.0,Ed Dunlop,G Mosse,14,Soft,3200,13,14,"[118.62424368429718, 121.58258601611502, 122.23493604245499, 119.33799300826206, 122.7243951651363]",21.0,2
2014,12,WHO SHOT THEBARMAN (NZ),5,55.0,Chris Waller,Glen Boss,12,Firm,3200,10,7,"[119.85313530561022, 120.11222587760449, 118.38395324178587, 118.10793928954521, 118.87560716113522]",21.0,3
2014,24,SIGNOFF (IRE),4,51.0,Darren Weir,Joao Moreira,15,Firm,3200,4,12,"[120.41871822023197, 119.47534980556233, 122.54993533396117, 122.40494556041929, 122.208693979109]",8.0,4
2014,13,WILLING FOE (USA),6,55.0,Saeed Bin Suroor,James McDonald,16,Good,3200,6,17,"[122.93628226082897, 119.6371295122357, 118.35645666256839, 119.29591168419789, 120.85800713417278]",31.0,5
2014,15,PRECEDENCE (NZ),7,54.5,Bart & James Cummings,Michael Rodd,18,Good,3200,4,14,"[118.36754879795389, 120.20978695167818, 119.53448331965548, 118.38797183397162, 121.12512610746535]",81.0,6
2014,21,ARALDO (GB),6,53.0,Michael Moroney,Dwayne Dunn,22,Soft,3200,6,7,"[118.04955888710445, 118.64642348283682, 120.13476741525497, 118.54635267555615, 120.85922766989519]",21.0,7
2014,18,AU REVOIR (IRE),7,53.5,Andre Fabre,Glyn Schofield,21,Heavy,3200,14,10,"[119.3682490570261, 121.6428483138505, 122.66428713106092, 120.62527681273022, 122.4577965082711]",71.0,8
2014,7,SEISMOS (IRE),6,56.0,Marco Botti,Craig Newitt,1,Soft,3200,11,4,"[121.61289841808318, 121.49146483493172, 120.87277476176352, 118.35592445268506, 120.96176666373556]",91.0,9
2014,3,FAWKNER,8,57.0,Robert Hickmott,Nicholas Hall,8,Good,3200,9,12,"[120.65142524344297, 118.14547387585903, 118.9256848540462, 118.98208191342071, 118.524929469767]",8.5,10
2014,20,OPINION (IRE),6,53.5,Chris Waller,Tye Angland,13,Good,3200,8,19,"[121.71908944307972, 121.57356492848027, 119.74603533302299, 122.80509603617654, 122.51677750953098]",71.0,11
2014,10,GATEWOOD (GB),5,55.0,John Gosden,William Buick,20,Good,3200,3,4,"[121.82999276470014, 118.12662861414866, 120.70579615166425, 119.91843070864978, 120.12481297254821]",61.0,12
2014,22,LUCIA VALENTINA (NZ),7,53.0,Kris Lees,Kerrin McEvoy,2,Soft,3200,7,8,"[121.42959403170323, 120.4037620258385, 118.4058374660733, 120.45740963666375, 120.9977356674152]",7.0,13
2014,11,MUTUAL REGARD (IRE),8,55.0,Johnny Murtagh,Damien Oliver,11,Good,3200,9,13,"[119.69093831522115, 119.26985443631538, 121.31590994274583, 120.12406730409103, 121.3336406103971]",9.0,14
2014,16,BRAMBLES (NZ),7,54.0,Peter G Moody,Luke Nolen,19,Good,3200,2,11,"[120.16949787421139, 118.60461824837633, 121.18101691378182, 118.7036485780698, 121.67973138584146]",81.0,15
2014,23,UNCHAIN MY HEART,6,51.5,David Hayes & Tom Dabernig,Dean Yendall,4,Good,3200,6,3,"[122.35422136218466, 119.38909761263665, 121.59766699416403, 122.97971769037838, 119.6365594787905]",101.0,16
2014,14,MY AMBIVALENT (IRE),6,54.5,Roger Varian,Andrea Atzeni,3,Good,3200,7,10,"[122.55010584318626, 119.13425512107514, 118.10035914308735, 120.4624564285339, 121.25951975385429]",31.0,17
2014,8,JUNOOB (GB),6,55.5,Chris Waller,Hugh Bowman,6,Good,3200,8,15,"[120.50374070669898, 119.2911851808868, 122.00005162387569, 119.37454653376531, 119.40238426520419]",21.0,18
2014,19,LIDARI (FR),6,53.5,Peter G Moody,Ben Melham,9,Soft,3200,2,18,"[119.1624651339646, 119.7906345205894, 119.31945936731267, 118.82333975479705, 118.66117808699408]",71.0,19
2014,9,ROYAL DIAMOND (IRE),4,55.5,Johnny Murtagh,Steven Arnold,5,Good,3200,3,4,"[118.34348617778514, 119.0224456093102, 122.0324111664042, 119.60122950332372, 121.8508019345037]",101.0,20
2014,17,MR O’CEIRIN (NZ),8,54.0,Ciaron Maher,Chad Schofield,17,Good,3200,13,8,"[119.35016808031337, 122.3876154564672, 122.10982157179615, 121.38416801302634, 118.51144732110292]",201.0,21
2014,1,ADMIRE RAKTI (JPN),6,58.5,Tomoyuki Umeda,Zac Purton,7,Good,3200,6,18,"[119.11798564871557, 118.3267164458507, 119.53879429072191, 122.27411803778337, 120.50396363847368]",5.5,22
