year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2011,3,DUNADEN,6,54.5,Mikel Delzangles,Christophe Lemaire,13,Firm,3200,11,4,"[122.78338395364038, 119.63359589773876, 121.96477805444817, 121.1065768688302, 122.40947815725148]",,1
2011,12,RED CADEAUX,4,53.5,Ed Dunlop,Michael Rodd,15,Heavy,3200,14,7,"[118.96273380602514, 119.08752568433917, 120.32579193307656, 122.16558106302533, 122.94014168474911]",,2
2011,9,LUCAS CRANACH,8,53.5,Anthony Freedman,Corey Brown,11,Good,3200,14,18,"[121.027270020112, 119.33107136872488, 121.7272011261351, 120.91894286090773, 121.35324514825166]",,3
2011,1,AMERICAIN,7,58.0,Alain de Royer Dupre,Gerald Mosse,14,Soft,3200,13,12,"[119.88513470142429, 118.19395073434382, 122.16088349375308, 120.78384832111334, 120.91671580213391]",,4
2011,6,MANIGHAR,6,54.0,Luca Cumani,Damien Oliver,20,Heavy,3200,5,3,"[118.1756281539734, 120.9166538840486, 121.43562705783317, 120.52142573274531, 119.63840224099133]",,5
2011,15,LOST IN THE MOMENT,6,53.0,Saeed Bin Suroor,William Buick,3,Good,3200,5,11,"[122.44884880950455, 121.17577683312342, 122.60143219446867, 121.15886642036037, 122.27755938808961]",,6
2011,8,FOX HUNT,8,53.5,Mark Johnston,Silvestre De Sousa,18,Good,3200,9,6,"[120.01189761476607, 118.75725836808348, 118.84265586758687, 118.90767697630544, 121.97170366841134]",,7
2011,23,NIWOT,4,51.0,"Michael, Wayne & John Hawkes",Dean Yendall,9,Good,3200,9,15,"[122.81571627532006, 120.74525612677434, 118.43395367476884, 122.75809721833089, 118.46889212426595]",,8
2011,7,UNUSUAL SUSPECT,7,54.0,Michael Kent,Brad Rawiller,7,Good,3200,10,12,"[122.24565025391637, 121.4551297158532, 121.84605426964205, 121.83684847445616, 118.87571878164061]",,9
2011,17,AT FIRST SIGHT,8,52.5,Robert Hickmott,Steven King,10,Good,3200,13,11,"[122.95648095510036, 120.27585395399471, 122.10568773663039, 118.18626174490169, 122.32643654970387]",,10
2011,11,PRECEDENCE,8,53.5,Bart Cummings,Darren Beadman,2,Soft,3200,8,4,"[118.25066258434292, 118.9615953890141, 118.06403929336705, 120.05730345226947, 122.00319683203973]",,11
2011,4,DRUNKEN SAILOR,4,54.0,Luca Cumani,Dwayne Dunn,8,Soft,3200,3,8,"[120.74103620031181, 118.7966262788878, 119.81460260952585, 119.4961506255888, 122.08929501525924]",,12
2011,21,THE VERMINATOR,6,52.0,Chris Waller,Craig Newitt,4,Heavy,3200,14,7,"[120.37041738761738, 120.4429937230917, 121.87087190145918, 121.91232012947202, 121.93106528744545]",,13
2011,22,TULLAMORE,4,52.0,Gai Waterhouse,Chris Munce,12,Good,3200,2,12,"[122.87585429472449, 120.80188915507829, 119.45171833496359, 119.26530335557938, 120.85594737862455]",,14
2011,18,MOYENNE CORNICHE,6,52.0,Brian Ellison,Brett Prebble,16,Soft,3200,8,14,"[121.13232313162155, 118.61513468948458, 121.92333289002815, 118.96041454522165, 122.41745866897826]",,15
2011,19,SAPTAPADI,5,52.0,Brian Ellison,Chris Symons,21,Good,3200,8,17,"[119.99825286688663, 118.96105528761326, 119.13304852276397, 118.99359980331164, 120.9840663401941]",,16
2011,24,OLDER THAN TIME,7,51.0,Gai Waterhouse,Tim Clark,19,Good,3200,3,16,"[119.11072217673849, 122.52985725662252, 120.24307490058447, 120.13422481869027, 120.0670476706631]",,17
2011,13,HAWK ISLAND,5,53.0,Chris Waller,Glyn Schofield,17,Heavy,3200,12,19,"[119.56787798366169, 118.33654269870637, 118.94300426243595, 122.20908851556453, 120.69264087867846]",,18
2011,14,ILLO,8,53.0,Bart Cummings,Jim Cassidy,1,Good,3200,14,14,"[118.70087327487721, 118.47121650124772, 119.56073871505302, 122.92311022931672, 119.75889765003319]",,19
2011,2,JUKEBOX JURY,8,57.0,Mark Johnston,Neil Callan,6,Heavy,3200,10,19,"[119.13639303067386, 121.6243936523463, 118.38587855806384, 120.61327787165574, 122.27745091338477]",,20
2011,20,SHAMROCKER,4,52.0,Danny O’Brien,Luke Nolen,23,Good,3200,2,6,"[120.36204593194962, 120.38260390659556, 118.36505913283806, 121.05369713577468, 121.35638928406091]",,21
2011,5,GLASS HARMONIUM,6,54.0,Michael Moroney,Lisa Cropp,22,Good,3200,2,19,"[120.4178956561219, 122.19935159646361, 119.46501725526306, 121.03284791629162, 122.53202035113473]",,22
2011,16,MODUN,5,53.0,Saeed Bin Suroor,Kerrin McEvoy,5,Heavy,3200,4,3,"[122.64541791172407, 119.72246369471291, 121.02394973076032, 122.74668132835957, 120.7888973225289]",,23
