year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2018,23,CROSS COUNTER (GB),4,51.0,Charlie Appleby,Kerrin McEvoy,19,Good,3200,10,3,"[122.65942090588248, 120.15218921060567, 118.30886075873626, 122.07921560067416, 121.09142047483859]",,1
2018,9,MARMELO (GB),6,55.0,Hughie Morrison,Hugh Bowman,10,Good,3200,10,17,"[119.842704525159, 122.15648858915647, 119.44220089106838, 118.28013936197077, 120.3635608203395]",,2
2018,17,A PRINCE OF ARRAN (GB),7,53.0,Charlie Fellowes,Michael Walker,20,Good,3200,4,11,"[118.84494197183089, 120.45149552511657, 121.00265788247408, 122.30099840882667, 118.77582093616404]",,3
2018,13,FINCHE (GB),8,54.0,Chris Waller,Zac Purton,15,Good,3200,13,10,"[118.33201552305364, 118.13918405301919, 122.20013057406901, 118.45694128770603, 121.67597304641872]",,4
2018,24,ROSTROPOVICH (IRE),4,51.0,Aidan O’Brien,Wayne Lordan,21,Good,3200,7,9,"[121.10517349843533, 121.14550017464212, 120.17338445445749, 121.86677826255288, 120.31978092807344]",,5
2018,22,YOUNGSTAR,4,51.5,Chris Waller,Craig Williams,8,Good,3200,5,10,"[121.57015255104153, 118.90853071158456, 119.13356139976946, 121.58725203772427, 121.46190483471702]",,6
2018,19,SIR CHARLES ROAD,5,53.0,Lance O’Sullivan & Andrew Scott,Dwayne Dunn,14,Good,3200,12,11,"[120.34619071238659, 121.30636987074962, 118.97020791280762, 122.89451128939157, 120.80286004235225]",,7
2018,1,BEST SOLUTION (IRE),8,57.5,Saeed Bin Suroor,Pat Cosgrave,6,Soft,3200,5,15,"[120.36358265701776, 121.61278937795561, 120.57892004414086, 119.70568880871379, 122.4941125345494]",,8
2018,5,MUNTAHAA (IRE),4,55.5,John Gosden,Jim Crowley,13,Good,3200,7,11,"[119.07884790845341, 118.42039090961606, 120.36845559777673, 120.9594638798432, 120.54821131928844]",,9
2018,16,VENTURA STORM (IRE),4,54.0,David & B Hayes & T Dabernig,Mark Zahra,7,Good,3200,14,10,"[122.13268807829, 122.78583924826412, 118.30647134364737, 122.65529050057475, 122.91643015846424]",,10
2018,11,YUCATAN (IRE),8,54.5,Aidan O’Brien,James McDonald,23,Good,3200,14,3,"[122.10012259305095, 118.1043503212282, 122.99439418306665, 118.30212242836592, 122.17081900844833]",,11
2018,18,NAKEETA (GB),4,53.0,Iain Jardine,Regan Bayliss,3,Good,3200,3,17,"[120.67490635665754, 122.74615421956786, 119.72157320222072, 119.85812496920572, 122.85672374159842]",,12
2018,20,ZACADA (NZ),4,53.0,Murray Baker & Andrew Forsman,Damian Lane,24,Good,3200,7,7,"[122.78630679456514, 120.86490401111618, 119.7326669364934, 119.04958724855358, 118.1225733389572]",,13
2018,4,CHESTNUT COAT (JPN),8,55.5,Yoshito Yahagi,Yuga Kawada,4,Soft,3200,8,14,"[119.0578445265098, 121.0434189137003, 119.54746340830175, 119.48686349224505, 121.25673678120026]",,14
2018,15,VENGEUR MASQUE (IRE),6,54.0,Michael Moroney,Patrick Moloney,2,Good,3200,12,8,"[119.63899181088226, 122.11741555771101, 121.00058310550715, 119.49281942066692, 118.82914217707753]",,15
2018,3,MAGIC CIRCLE (IRE),8,56.0,Ian Williams,Corey Brown,17,Good,3200,11,6,"[120.41578622964222, 122.01814983034679, 118.04522155229546, 120.43975142979653, 118.86468637081234]",,16
2018,7,WHO SHOT THEBARMAN (NZ),8,55.5,Chris Waller,Ben Melham,18,Soft,3200,5,8,"[120.35599225981007, 119.33823242547834, 122.97206548682898, 121.11182759413941, 118.80447857783399]",,17
2018,6,SOUND CHECK (GER),7,55.5,Michael Moroney,Jordan Childs,16,Heavy,3200,5,8,"[119.7131118527573, 120.0641951738084, 119.03145693075228, 120.4099304375517, 121.14324092328245]",,18
2018,21,RUNAWAY,4,52.0,Gai Waterhouse & Adrian Bott,Stephen Baster,12,Good,3200,10,12,"[120.96416944571736, 119.84968834297791, 120.84321313135705, 119.13525863724777, 122.64791475227011]",,19
2018,8,ACE HIGH,4,55.0,David Payne,Tye Angland,22,Heavy,3200,6,14,"[122.52625284679958, 119.7833176868317, 122.74608824756328, 121.76434676869249, 122.1037590056905]",,20
2018,12,AUVRAY (FR),7,54.0,Richard Freedman,Tommy Berry,1,Good,3200,6,13,"[120.97212160366243, 118.60008736872899, 121.17440670192256, 122.25826981128586, 120.05095036198377]",,21
2018,10,AVILIUS (GB),8,54.5,James Cummings,Glyn Schofield,11,Good,3200,11,17,"[120.53848567727762, 119.19146347221849, 121.01433448363689, 122.30816342167729, 122.64024414133513]",,22
2018,14,RED CARDINAL (IRE),7,54.0,Darren Weir,Damien Oliver,5,Good,3200,8,8,"[121.51040753863795, 122.85917521776781, 119.55900319087652, 118.77460739933176, 121.63402096173206]",,23
