year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2017,22,REKINDLING (GB),5,51.5,Joseph O’Brien,Corey Brown,4,Good,3200,3,6,"[119.24222167948544, 118.81162480690196, 118.08820095051078, 120.10350905465083, 121.30855126730022]",15.0,1
2017,7,JOHANNES VERMEER (IRE),5,54.5,Aidan O’Brien,Ben Melham,3,Good,3200,6,17,"[119.48559869937144, 118.52008554333946, 121.84661260317105, 120.67892636478008, 118.68985401583437]",13.0,2
2017,9,MAX DYNAMITE (FR),5,54.0,William Mullins,Zac Purton,2,Good,3200,13,8,"[120.4058345880264, 119.15013537030617, 121.71114656215414, 121.21939563753583, 118.80352561512007]",20.0,3
2017,13,BIG DUKE (IRE),8,53.5,Darren Weir,Brenton Avdulla,5,Firm,3200,7,18,"[119.39653384724332, 121.38684623867495, 118.63127568663448, 119.94228680479563, 122.52062891725416]",21.0,4
2017,18,NAKEETA (GB),6,53.0,Iain Jardine,Glyn Schofield,19,Good,3200,5,5,"[118.60530003546471, 118.77243066532114, 119.15742784381135, 121.86133551300598, 121.85115193014211]",41.0,5
2017,21,THOMAS HOBSON (GB),8,52.0,William Mullins,Ben Allen (a),20,Good,3200,2,11,"[120.59113882079369, 120.13561379630181, 121.43673616631524, 121.61126476569022, 121.30531688490919]",21.0,6
2017,4,TIBERIAN (FR),8,55.5,Alain Couetil,Olivier Peslier,22,Good,3200,7,9,"[122.07151102010181, 118.5270389096488, 119.67826150943868, 120.19686747750882, 118.50091910374324]",31.0,7
2017,17,LIBRAN (IRE),7,53.0,Chris Waller,Dwayne Dunn,7,Good,3200,14,9,"[120.21896543343438, 119.89390926555058, 121.43587909173424, 119.16328625065518, 119.13557602999423]",61.0,8
2017,5,MARMELO (GB),4,55.0,Hughie Morrison,Hugh Bowman,16,Firm,3200,8,9,"[118.24224702701201, 121.72163142790464, 118.9298644696619, 118.24786637708942, 121.92239366389141]",7.0,9
2017,12,WICKLOW BRAVE (GB),6,54.0,William Mullins,Stephen Baster,8,Soft,3200,12,10,"[119.92760000065505, 118.16526293617355, 118.9343497191048, 122.74214731867013, 121.17304313215557]",71.0,10
2017,6,RED CARDINAL (IRE),4,55.0,Andreas Wohler,Kerrin McEvoy,23,Soft,3200,11,3,"[121.95001098445566, 121.05400577571355, 118.69490724028503, 118.73911742438142, 120.98426266416563]",16.0,11
2017,2,ALMANDIN (GER),6,56.5,Robert Hickmott,Frankie Dettori,14,Good,3200,7,7,"[118.75895853321695, 119.49411737232208, 119.13989070315624, 122.56413693701066, 121.95207331668114]",7.0,12
2017,24,CISMONTANE (NZ),6,50.0,Gai Waterhouse & Adrian Bott,Beau Mertens (a),17,Soft,3200,7,9,"[121.66273351467163, 120.04657056997566, 120.67626116203583, 122.7986700700752, 122.87211527832419]",41.0,13
2017,23,AMELIE’S STAR,4,51.0,Darren Weir,Dean Yendall,10,Soft,3200,6,7,"[120.09920012020069, 121.33591726052637, 120.83169444726298, 121.04833647511794, 118.47970668717629]",26.0,14
2017,15,BOOM TIME,4,53.0,David & B Hayes & T Dabernig,Cory Parish,9,Good,3200,5,5,"[120.88081931591381, 122.58818177624171, 121.05193126964961, 119.60421452490496, 122.48951240839719]",34.0,15
2017,20,WALL OF FIRE (IRE),8,53.0,Hugo Palmer,Craig Williams,15,Good,3200,3,11,"[119.67718207523254, 122.67468054483437, 120.60641829730322, 118.45346715631487, 118.50995910517064]",11.0,16
2017,19,SINGLE GAZE,8,53.0,Nick Olive,Ms Kathy O’Hara,11,Good,3200,2,4,"[121.36353723948899, 119.43394995418784, 121.39254377892853, 121.0246320374577, 118.74259437036845]",31.0,17
2017,14,US ARMY RANGER (IRE),4,53.5,Joseph O’Brien,Jamie Spencer,21,Soft,3200,9,16,"[122.7301005311381, 120.17143845067613, 121.88427340019895, 120.43645789287946, 120.99412452030072]",71.0,18
2017,3,HUMIDOR (NZ),7,56.0,Darren Weir,Blake Shinn,13,Good,3200,9,5,"[119.96240695902704, 120.35611357762893, 119.7845316718697, 118.11144498424909, 118.26080020463024]",11.0,19
2017,1,HARTNELL (GB),7,57.5,James Cummings,Damian Lane,12,Soft,3200,3,4,"[120.90757844203397, 118.6654071768854, 118.39140826069138, 118.54589837885638, 121.4187944831121]",26.0,20
2017,10,VENTURA STORM (IRE),4,54.0,David & B Hayes & T Dabernig,Glen Boss,6,Soft,3200,2,5,"[121.75264622514649, 118.5967819475667, 120.20238074471956, 119.73746002018659, 121.0276722058436]",34.0,21
2017,8,BONDI BEACH (IRE),7,54.0,Robert Hickmott,Michael Walker,1,Good,3200,4,12,"[119.37103907834047, 119.18275979334393, 118.22151553599394, 120.34542851053592, 120.49206606513184]",71.0,22
2017,16,GALLANTE (IRE),7,53.0,Robert Hickmott,Michael Dee,18,Heavy,3200,13,6,"[120.31168626985887, 121.30080175152351, 119.19565387809705, 121.58588790242742, 121.75335202610475]",91.0,23
