year,horse_number,horse_name,age,weight,trainer,jockey,barrier,track_condition,distance,wins,places,recent_race_times,odds,finishing_position
2019,23,VOW AND DECLARE,6,52.0,Danny O’Brien,Craig Williams,21,Good,3200,8,19,"[122.90991378480955, 119.60012346208627, 120.36727002727174, 122.68415288488326, 119.63343354838584]",,1
2019,12,PRINCE OF ARRAN (GB),5,54.0,Charlie Fellowes,Michael Walker,8,Good,3200,4,4,"[120.3550492212292, 118.05564688220599, 118.23974271691516, 121.7223234903592, 119.09553615224351]",,2
2019,20,IL PARADISO (USA),4,52.5,Aidan O’Brien,Wayne Lordan,17,Good,3200,4,7,"[122.58434510415879, 121.02390448563284, 121.99355733661605, 121.96948334457649, 122.16428998418564]",,3
2019,3,MASTER OF REALITY (IRE),7,55.5,Joseph O’Brien,Frankie Dettori,1,Good,3200,14,19,"[120.1667764279958, 121.51314876399196, 118.81656255729449, 119.97704813705148, 120.97096595808796]",,4
2019,18,SURPRISE BABY (NZ),8,53.5,Paul Preusker,Jordan Childs,20,Firm,3200,6,3,"[122.81318364186193, 118.34269256387181, 118.77831844371723, 122.99624664007521, 120.4010742805587]",,5
2019,2,MER DE GLACE (JPN),7,56.0,Hisashi Shimizu,Damian Lane,2,Good,3200,10,16,"[118.53809093717958, 120.80083142575792, 119.3665745172193, 120.46695879514363, 121.79900090619384]",,6
2019,11,FINCHE (GB),5,54.0,Chris Waller,Kerrin McEvoy,4,Good,3200,11,12,"[120.75521976384891, 119.15416145670916, 119.99248403087567, 121.02212843823982, 120.4848924391693]",,7
2019,1,CROSS COUNTER (GB),6,57.5,Charlie Appleby,William Buick,5,Heavy,3200,8,16,"[118.43005537299366, 122.99364279907573, 121.96915060274478, 120.83241633226044, 121.0161224849543]",,8
2019,21,STEEL PRINCE (IRE),8,52.5,Anthony Freedman,Brett Prebble,16,Good,3200,3,16,"[121.26602806930966, 122.70309778099225, 122.31724872878391, 118.49331848436586, 122.23278127115562]",,9
2019,15,MAGIC WAND (IRE),6,53.5,Aidan O’Brien,Ryan Moore,24,Soft,3200,11,16,"[119.29150556865032, 121.57953048311215, 120.08568088617689, 122.10198126864574, 122.86151718292115]",,10
2019,10,TWILIGHT PAYMENT (IRE),5,55.0,Joseph O’Brien,Hugh Bowman,19,Heavy,3200,7,19,"[120.0846158349302, 121.48354797877226, 120.78099631312098, 118.34496320145611, 120.34707793043226]",,11
2019,17,SOUND (GER),7,53.5,Michael Moroney,James Winks,10,Good,3200,13,16,"[118.68520913010568, 122.74135733303714, 120.46752988269424, 121.85044528225161, 120.66243120841422]",,12
2019,19,CONSTANTINOPLE (IRE),6,52.5,David & B Hayes & T Dabernig,Joao Moreira,7,Good,3200,3,17,"[120.8245619182262, 122.74468374216373, 122.56509677454345, 121.26404196585015, 119.42717603825061]",,13
2019,4,MIRAGE DANCER (GB),8,55.5,Trent Busuttin & Natalie Young,Ben Melham,13,Good,3200,8,15,"[119.71131839571572, 122.80905598683664, 121.31390049613519, 119.11808811891284, 119.97744040488678]",,14
2019,6,HUNTING HORN (IRE),6,55.0,Aidan O’Brien,Seamie Heffernan,11,Good,3200,2,10,"[119.4966685810679, 119.2370380737762, 120.84830250176701, 121.76127083722085, 118.45151275910688]",,15
2019,13,RAYMOND TUSK (IRE),7,54.0,Richard Hannon,Jamie Spencer,3,Good,3200,11,5,"[121.28100205967316, 122.96837614402783, 121.22898743190477, 118.88085221330628, 121.7009573263827]",,16
2019,22,THE CHOSEN ONE (NZ),7,52.0,Murray Baker & Andrew Forsman,Tim Clark,18,Soft,3200,12,15,"[118.77742507697076, 120.98681240300212, 122.10527109058394, 118.81912219225035, 122.3821519211189]",,17
2019,7,LATROBE (IRE),4,55.0,Joseph O’Brien,James McDonald,22,Soft,3200,6,16,"[120.73724118225485, 120.18853573358824, 122.93923254617651, 121.76794536009014, 122.45796501855278]",,18
2019,5,SOUTHERN FRANCE (IRE),8,55.5,Ciaron Maher & David Eustace,Mark Zahra,14,Good,3200,3,4,"[119.78967962436772, 122.11845397303402, 121.55149204302414, 122.88156557379749, 120.83290283256301]",,19
2019,24,YOUNGSTAR,6,52.0,Chris Waller,Tommy Berry,9,Soft,3200,8,16,"[121.91335901079547, 118.63501523055663, 120.75445770355024, 122.09753736481765, 118.82888992916796]",,20
2019,16,NEUFBOSC (FR),7,53.5,David & B Hayes & T Dabernig,Luke Nolen,23,Firm,3200,5,19,"[120.6221021543046, 119.10961646396174, 121.73264121754373, 119.97978991147193, 122.41484191385045]",,21
2019,14,DOWNDRAFT (IRE),8,53.5,Joseph O’Brien,John Allen,15,Heavy,3200,8,13,"[122.11846609437893, 119.16047878792111, 119.6918582884904, 122.2183545446616, 120.00729146911594]",,22
2019,8,MUSTAJEER (GB),5,55.0,Kris Lees,Damien Oliver,6,Good,3200,5,19,"[120.3610345114395, 121.09676075409553, 119.22702166644115, 120.62991428472431, 121.66604532213994]",,23
2019,9,ROSTROPOVICH (IRE),5,55.0,David & B Hayes & T Dabernig,Dwayne Dunn,12,Good,3200,6,3,"[121.42884709035303, 121.87065683018915, 120.09486010815073, 118.43681221044847, 121.82225620366762]",,24
